Y,T
269.2035294118171,1.77
275.20113999645827,1.78
281.32611612316947,1.79
287.58109311598633,1.80
293.9687601628399,1.81
300.4918614099776,1.82
307.1531970785596,1.83
313.95562460387305,1.84
320.90205979762607,1.85
327.9954780337866,1.86
335.2389154584419,1.87
342.6354702241672,1.88
350.18830374939523,1.89
357.9006420032961,1.90
365.77577681668225,1.91
373.8170672194629,1.92
382.02794080518896,1.93
390.4118951232335,1.94
398.9724990991665,1.95
407.7133944838969,1.96
416.6382973321606,1.97
425.75099951095063,1.98
435.05537023849286,1.99
444.55535765438697,2.00
454.25499042154206,2.01
464.1583793605492,2.02
474.26971911714935,2.03
484.5932898634628,2.04
495.1334590336656,2.05
505.894683094809,2.06
516.8815093534913,2.07
528.0985777991085,2.08
539.5506229844244,2.09
551.2424759442106,2.10
563.179066152734,2.11
575.3654235208685,2.12
587.8066804336383,2.13
600.5080738290088,2.14
613.4749473187592,2.15
626.7127533522865,2.16
640.2270554242108,2.17
654.0235303266679,2.18
668.1079704471913,2.19
682.4862861131039,2.20
697.1645079833672,2.21
712.1487894888382,2.22
727.4454093219184,2.23
743.0607739765937,2.24
759.0014203398805,2.25
775.2740183357223,2.26
791.8853736223936,2.27
808.8424303444941,2.28
826.1522739406383,2.29
843.8221340079625,2.30
861.8593872246062,2.31
880.2715603313288,2.32
899.0663331734696,2.33
918.2515418044588,2.34
937.8351816521342,2.35
957.825410749129,2.36
978.2305530286234,2.37
999.0591016867879,2.38
1020.3197226132623,2.39
1042.0212578910462,2.40
1064.1727293672047,2.41
1086.7833422958236,2.42
1109.8624890546703,2.43
1133.419752937053,2.44
1157.4649120204015,2.45
1182.007943113109,2.46
1207.0590257812376,2.47
1232.6285464566797,2.48
1258.727102628437,2.49
1285.3655071186906,2.50
1312.5547924453822,2.51
1340.306215273046,2.52
1368.6312609536844,2.53
1397.5416481595048,2.54
1427.049333609371,2.55
1457.1665168908698,2.56
1487.9056453799203,2.57
1519.279419259901,2.58
1551.300796642304,2.59
1583.9829987909725,2.60
1617.339515452011,2.61
1651.3841102915067,2.62
1686.1308264432407,2.63
1721.5939921686152,2.64
1757.788226631058,2.65
1794.7284457872292,2.66
1832.4298683973775,2.67
1870.9080221572656,2.68
1910.1787499541235,2.69
1950.2582162491192,2.70
1991.1629135889295,2.71
2032.9096692489961,2.72
2075.5156520111523,2.73
2118.9983790783112,2.74
2163.3757231290083,2.75
2208.665919514611,2.76
2254.887573602086,2.77
2302.059668265264,2.78
2350.201571527596,2.79
2399.3330443594896,2.80
2449.4742486333025,2.81
2500.6457552392353,2.82
2552.8685523653303,2.83
2606.1640539449218,2.84
2660.5541082749005,2.85
2716.061006808268,2.86
2772.7074931244865,2.87
2830.5167720812183,2.88
2889.512519151134,2.89
2949.718889947512,2.90
3011.160529942464,2.91
3073.862584381661,2.92
3137.850708399548,2.93
3203.1510773390833,2.94
3269.7903972801532,2.95
3337.7959157808696,2.96
3407.1954328360366,2.97
3478.017312057231,2.98
3550.290492078889,2.99
3624.04449819506,3.00
3699.3094542314134,3.01
